locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFLAKNEJ_00033	CDS	693	tolQ		COG0811	Tol-Pal system protein TolQ
IFLAKNEJ_00034	CDS	429	tolR		COG0848	Tol-Pal system protein TolR
IFLAKNEJ_00035	CDS	1266	tolA		COG3064	Tol-Pal system protein TolA
IFLAKNEJ_00036	CDS	1293	tolB		COG0823	Tol-Pal system protein TolB
IFLAKNEJ_00037	CDS	522	pal_1		COG2885	Peptidoglycan-associated lipoprotein
IFLAKNEJ_00038	CDS	792	cpoB		COG1729	Cell division coordinator CpoB
IFLAKNEJ_00039	tRNA	76				tRNA-Lys(ttt)
IFLAKNEJ_00040	tRNA	76				tRNA-Lys(ttt)
IFLAKNEJ_00041	tRNA	76				tRNA-Lys(ttt)
IFLAKNEJ_00042	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
IFLAKNEJ_00043	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
IFLAKNEJ_00044	CDS	942	zitB		COG1230	Zinc transporter ZitB
IFLAKNEJ_00045	CDS	381				hypothetical protein
IFLAKNEJ_00046	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
IFLAKNEJ_00047	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IFLAKNEJ_00048	CDS	1041	galM	5.1.3.3	COG2017	Aldose 1-epimerase
IFLAKNEJ_00049	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
IFLAKNEJ_00050	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
IFLAKNEJ_00051	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
IFLAKNEJ_00052	CDS	1473	modF		COG1119	ABC transporter ATP-binding protein ModF
IFLAKNEJ_00053	CDS	789	modE		COG2005	DNA-binding transcriptional dual regulator ModE
IFLAKNEJ_00054	CDS	150	acrZ			Multidrug efflux pump accessory protein AcrZ
IFLAKNEJ_00055	CDS	774	modA		COG0725	Molybdate-binding protein ModA
IFLAKNEJ_00056	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
IFLAKNEJ_00057	CDS	1059	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IFLAKNEJ_00058	CDS	819	ybhA	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
IFLAKNEJ_00059	CDS	996	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
IFLAKNEJ_00060	CDS	954	oxyR_1			Hydrogen peroxide-inducible genes activator
IFLAKNEJ_00061	CDS	1053	ybhH	5.-.-.-	COG2828	Putative isomerase YbhH
IFLAKNEJ_00062	CDS	1434	ybhI		COG0471	Inner membrane protein YbhI
IFLAKNEJ_00063	CDS	2262	leuC_1	4.2.1.33		3-isopropylmalate dehydratase large subunit
IFLAKNEJ_00064	CDS	1284	ybhC	3.1.2.-	COG4677	Putative acyl-CoA thioester hydrolase YbhC
IFLAKNEJ_00065	CDS	1071	xerC_1			Tyrosine recombinase XerC
IFLAKNEJ_00066	CDS	168				hypothetical protein
IFLAKNEJ_00067	CDS	150				hypothetical protein
IFLAKNEJ_00068	CDS	222				hypothetical protein
IFLAKNEJ_00069	CDS	216				hypothetical protein
IFLAKNEJ_00070	CDS	192				hypothetical protein
IFLAKNEJ_00071	CDS	183				hypothetical protein
IFLAKNEJ_00072	CDS	681				hypothetical protein
IFLAKNEJ_00073	CDS	786				hypothetical protein
IFLAKNEJ_00074	CDS	297				hypothetical protein
IFLAKNEJ_00075	CDS	207				hypothetical protein
IFLAKNEJ_00076	CDS	690			COG2932	putative HTH-type transcriptional regulator
IFLAKNEJ_00077	CDS	231				hypothetical protein
IFLAKNEJ_00078	CDS	540				hypothetical protein
IFLAKNEJ_00079	CDS	1005				hypothetical protein
IFLAKNEJ_00080	CDS	702				hypothetical protein
IFLAKNEJ_00081	CDS	303				hypothetical protein
IFLAKNEJ_00082	CDS	222	emrE_1		COG2076	Multidrug transporter EmrE
IFLAKNEJ_00083	CDS	795				hypothetical protein
IFLAKNEJ_00084	CDS	240				hypothetical protein
IFLAKNEJ_00085	CDS	507				hypothetical protein
IFLAKNEJ_00086	CDS	456				hypothetical protein
IFLAKNEJ_00087	CDS	171				hypothetical protein
IFLAKNEJ_00088	CDS	291	ybcO_1	3.1.-.-		Putative nuclease YbcO
IFLAKNEJ_00089	CDS	228	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
IFLAKNEJ_00090	CDS	138	ylcG			putative protein YlcG
IFLAKNEJ_00091	CDS	384				hypothetical protein
IFLAKNEJ_00092	CDS	1083	ompD_1		COG3203	Outer membrane porin protein OmpD
IFLAKNEJ_00093	CDS	216				hypothetical protein
IFLAKNEJ_00094	CDS	498	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
IFLAKNEJ_00095	CDS	438				hypothetical protein
IFLAKNEJ_00096	CDS	522				hypothetical protein
IFLAKNEJ_00097	CDS	165				hypothetical protein
IFLAKNEJ_00098	CDS	411	ydfO_1		COG5562	putative protein YdfO
IFLAKNEJ_00099	CDS	234				hypothetical protein
IFLAKNEJ_00100	CDS	546	nohA_1		COG4220	Prophage DNA-packing protein NohA
IFLAKNEJ_00101	CDS	1662				hypothetical protein
IFLAKNEJ_00102	CDS	219				hypothetical protein
IFLAKNEJ_00103	CDS	207				hypothetical protein
IFLAKNEJ_00104	CDS	1602				hypothetical protein
IFLAKNEJ_00105	CDS	1320				hypothetical protein
IFLAKNEJ_00106	CDS	333				hypothetical protein
IFLAKNEJ_00107	CDS	1026				hypothetical protein
IFLAKNEJ_00108	CDS	396				hypothetical protein
IFLAKNEJ_00109	CDS	354				hypothetical protein
IFLAKNEJ_00110	CDS	579				hypothetical protein
IFLAKNEJ_00111	CDS	396				hypothetical protein
IFLAKNEJ_00112	CDS	741				hypothetical protein
IFLAKNEJ_00113	CDS	423				hypothetical protein
IFLAKNEJ_00114	CDS	435				hypothetical protein
IFLAKNEJ_00115	CDS	2115				hypothetical protein
IFLAKNEJ_00116	CDS	600	ompX_1		COG3637	Outer membrane protein X
IFLAKNEJ_00117	CDS	3075				hypothetical protein
IFLAKNEJ_00118	CDS	585	tfaE_1			Prophage tail fiber assembly protein TfaE
IFLAKNEJ_00119	CDS	93				hypothetical protein
IFLAKNEJ_00120	CDS	1332	cdgI_1	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
IFLAKNEJ_00121	CDS	477				hypothetical protein
IFLAKNEJ_00122	CDS	1290	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
IFLAKNEJ_00123	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
IFLAKNEJ_00124	CDS	1155	bioF_1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
IFLAKNEJ_00125	CDS	756	bioC	2.1.1.197	COG0500	Malonyl-[acyl-carrier protein] O-methyltransferase
IFLAKNEJ_00126	CDS	678	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
IFLAKNEJ_00127	CDS	2022	uvrB		COG0556	UvrABC system protein B
IFLAKNEJ_00128	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
IFLAKNEJ_00129	CDS	990	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
IFLAKNEJ_00130	CDS	513	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
IFLAKNEJ_00131	CDS	486	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
IFLAKNEJ_00132	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
IFLAKNEJ_00133	CDS	453	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
IFLAKNEJ_00134	CDS	705	ybhL		COG0670	Inner membrane protein YbhL
IFLAKNEJ_00135	CDS	450				hypothetical protein
IFLAKNEJ_00136	CDS	375				hypothetical protein
IFLAKNEJ_00137	CDS	714				hypothetical protein
IFLAKNEJ_00138	CDS	957	ybhN		COG0392	Inner membrane protein YbhN
IFLAKNEJ_00139	CDS	1242	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
IFLAKNEJ_00140	CDS	762				hypothetical protein
IFLAKNEJ_00141	CDS	411	ybhQ			Inner membrane protein YbhQ
IFLAKNEJ_00142	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
IFLAKNEJ_00143	CDS	1134	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
IFLAKNEJ_00144	CDS	1737	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
IFLAKNEJ_00145	CDS	996				hypothetical protein
IFLAKNEJ_00146	CDS	672	cecR		COG1309	HTH-type transcriptional dual regulator CecR
IFLAKNEJ_00147	CDS	1365	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
IFLAKNEJ_00148	CDS	450	ybiA	3.2.2.-	COG3236	N-glycosidase YbiA
IFLAKNEJ_00149	CDS	2286	dinG	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
IFLAKNEJ_00150	CDS	963	ybiB		COG0547	putative protein YbiB
IFLAKNEJ_00151	CDS	1086	hcxB	1.1.1.-	COG2055	Hydroxycarboxylate dehydrogenase B
IFLAKNEJ_00152	CDS	261	bhsA_1			Multiple stress resistance protein BhsA
IFLAKNEJ_00153	CDS	267	ybiI		COG1734	putative protein YbiI
IFLAKNEJ_00154	CDS	675		1.14.11.-	COG3128	PKHD-type hydroxylase
IFLAKNEJ_00155	CDS	2283	fiu		COG4774	Catecholate siderophore receptor Fiu
IFLAKNEJ_00156	CDS	261	mcbA			putative protein McbA
IFLAKNEJ_00157	CDS	927	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
IFLAKNEJ_00158	CDS	2226	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
IFLAKNEJ_00159	CDS	723	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
IFLAKNEJ_00160	CDS	660	glnP		COG0765	Glutamine transport system permease protein GlnP
IFLAKNEJ_00161	CDS	747	glnH		COG0834	Glutamine-binding periplasmic protein
IFLAKNEJ_00162	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
IFLAKNEJ_00163	CDS	888	rhtA		COG5006	Threonine/homoserine exporter RhtA
IFLAKNEJ_00164	CDS	516	ompX_2		COG3637	Outer membrane protein X
IFLAKNEJ_00165	CDS	1584	opgE	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
IFLAKNEJ_00166	CDS	129	mntS			Small protein MntS
IFLAKNEJ_00167	CDS	468	mntR		COG1321	Transcriptional regulator MntR
IFLAKNEJ_00168	CDS	1119	ybiR		COG0471	Inner membrane protein YbiR
IFLAKNEJ_00169	CDS	921	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
IFLAKNEJ_00170	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
IFLAKNEJ_00171	CDS	981				IS110 family transposase IS621
IFLAKNEJ_00172	CDS	1266	ybiU			putative protein YbiU
IFLAKNEJ_00173	CDS	816	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
IFLAKNEJ_00174	CDS	2433	pflD	4.2.1.172	COG1882	Trans-4-hydroxy-L-proline dehydratase
IFLAKNEJ_00175	CDS	900	cutD	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
IFLAKNEJ_00176	CDS	663	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
IFLAKNEJ_00177	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
IFLAKNEJ_00178	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
IFLAKNEJ_00179	CDS	966	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
IFLAKNEJ_00180	CDS	1872	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
IFLAKNEJ_00181	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
IFLAKNEJ_00182	CDS	921	gsiC		COG0601	Glutathione transport system permease protein GsiC
IFLAKNEJ_00183	CDS	912	gsiD		COG1173	Glutathione transport system permease protein GsiD
IFLAKNEJ_00184	CDS	2349	pdeI	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeI
IFLAKNEJ_00185	CDS	1329				hypothetical protein
IFLAKNEJ_00186	CDS	1326	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
IFLAKNEJ_00187	CDS	384				hypothetical protein
IFLAKNEJ_00188	CDS	1116	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
IFLAKNEJ_00189	CDS	627	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
IFLAKNEJ_00190	CDS	1203	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
IFLAKNEJ_00191	CDS	759	deoR_1		COG1349	Deoxyribose operon repressor
IFLAKNEJ_00192	CDS	597	ybjG	3.6.1.27	COG0671	Putative undecaprenyl-diphosphatase YbjG
IFLAKNEJ_00193	CDS	1233	mdfA			Multidrug transporter MdfA
IFLAKNEJ_00194	CDS	279				hypothetical protein
IFLAKNEJ_00195	CDS	816	ybjI	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
IFLAKNEJ_00196	CDS	1128	ybjJ			Inner membrane protein YbjJ
IFLAKNEJ_00197	CDS	537	rcdA		COG3226	HTH-type transcriptional regulator RcdA
IFLAKNEJ_00198	CDS	1686	aspT_1			Aspartate/alanine antiporter
IFLAKNEJ_00199	CDS	378	ybjM			Inner membrane protein YbjM
IFLAKNEJ_00200	CDS	258	grxA		COG0695	Glutaredoxin 1
IFLAKNEJ_00201	CDS	288				hypothetical protein
IFLAKNEJ_00202	CDS	723	nfsA	1.-.-.-	COG0778	Oxygen-insensitive NADPH nitroreductase
IFLAKNEJ_00203	CDS	903	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
IFLAKNEJ_00204	CDS	477	ybjN			putative protein YbjN
IFLAKNEJ_00205	CDS	1113	potF		COG0687	Putrescine-binding periplasmic protein
IFLAKNEJ_00206	CDS	1134	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
IFLAKNEJ_00207	CDS	954	potH		COG1176	Putrescine transport system permease protein PotH
IFLAKNEJ_00208	CDS	846	ydcV_1			Inner membrane ABC transporter permease protein YdcV
IFLAKNEJ_00209	CDS	489	ybjO			Inner membrane protein YbjO
IFLAKNEJ_00210	CDS	1128	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
IFLAKNEJ_00211	CDS	732	artJ		COG0834	ABC transporter arginine-binding protein 1
IFLAKNEJ_00212	CDS	669	artM_1		COG4160	Arginine ABC transporter permease protein ArtM
IFLAKNEJ_00213	CDS	717	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
IFLAKNEJ_00214	CDS	732	artI		COG0834	Putative ABC transporter arginine-binding protein 2
IFLAKNEJ_00215	CDS	729	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
IFLAKNEJ_00216	CDS	516	ybjP			putative lipoprotein YbjP
IFLAKNEJ_00217	CDS	324				hypothetical protein
IFLAKNEJ_00218	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
IFLAKNEJ_00219	CDS	1014	oleD_1	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
IFLAKNEJ_00220	CDS	1431				hypothetical protein
IFLAKNEJ_00221	CDS	1002	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
IFLAKNEJ_00222	CDS	1719	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
IFLAKNEJ_00223	CDS	969	hcr	1.-.-.-	COG1018	NADH oxidoreductase HCR
IFLAKNEJ_00224	CDS	1653	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
IFLAKNEJ_00225	CDS	900	lysO		COG2431	Lysine exporter LysO
IFLAKNEJ_00226	CDS	696	aqpZ		COG0580	Aquaporin Z
IFLAKNEJ_00227	CDS	1659				hypothetical protein
IFLAKNEJ_00228	CDS	993				hypothetical protein
IFLAKNEJ_00229	CDS	1116	macA		COG0845	Macrolide export protein MacA
IFLAKNEJ_00230	CDS	1947	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
IFLAKNEJ_00231	CDS	225	cspD		COG1278	Cold shock-like protein CspD
IFLAKNEJ_00232	CDS	321	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
IFLAKNEJ_00233	CDS	2277	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
IFLAKNEJ_00234	tRNA	88				tRNA-Ser(gga)
IFLAKNEJ_00235	CDS	219	infA		COG0361	Translation initiation factor IF-1
IFLAKNEJ_00236	CDS	705	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
IFLAKNEJ_00237	CDS	1722	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
IFLAKNEJ_00238	CDS	1767	cydD		COG4988	ATP-binding/permease protein CydD
IFLAKNEJ_00239	CDS	966	trxB	1.8.1.9	COG0492	Thioredoxin reductase
IFLAKNEJ_00240	CDS	495	lrp		COG1522	Leucine-responsive regulatory protein
IFLAKNEJ_00241	CDS	4068	ftsK		COG1674	DNA translocase FtsK
IFLAKNEJ_00242	CDS	612	lolA		COG2834	Outer-membrane lipoprotein carrier protein
IFLAKNEJ_00243	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
IFLAKNEJ_00244	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
IFLAKNEJ_00245	CDS	2445	dmsA	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
IFLAKNEJ_00246	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
IFLAKNEJ_00247	CDS	864	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
IFLAKNEJ_00248	CDS	627	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
IFLAKNEJ_00249	CDS	1149	ycaD			putative MFS-type transporter YcaD
IFLAKNEJ_00250	CDS	1431	ycaM		COG0531	Inner membrane transporter YcaM
IFLAKNEJ_00251	CDS	909	pgrR_1			HTH-type transcriptional regulator PgrR
IFLAKNEJ_00252	CDS	591	azoR_1	1.7.1.17		FMN-dependent NADH-azoreductase
IFLAKNEJ_00253	CDS	741	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
IFLAKNEJ_00254	CDS	2283	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
IFLAKNEJ_00255	CDS	858	focA		COG2116	putative formate transporter 1
IFLAKNEJ_00256	CDS	1761	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
IFLAKNEJ_00257	CDS	693				hypothetical protein
IFLAKNEJ_00258	CDS	1089	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
IFLAKNEJ_00259	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
IFLAKNEJ_00260	CDS	765	ycaL	3.4.-.-	COG0501	Metalloprotease YcaL
IFLAKNEJ_00261	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
IFLAKNEJ_00262	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
IFLAKNEJ_00263	CDS	285	ihfB		COG0776	Integration host factor subunit beta
IFLAKNEJ_00264	CDS	2265				hypothetical protein
IFLAKNEJ_00265	CDS	1749	msbA_2	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
IFLAKNEJ_00266	CDS	987	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
IFLAKNEJ_00267	CDS	1233				hypothetical protein
IFLAKNEJ_00268	CDS	183				hypothetical protein
IFLAKNEJ_00269	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
IFLAKNEJ_00270	CDS	894				hypothetical protein
IFLAKNEJ_00271	CDS	780				hypothetical protein
IFLAKNEJ_00272	CDS	786	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
IFLAKNEJ_00273	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
IFLAKNEJ_00274	CDS	705	mukE		COG3095	Chromosome partition protein MukE
IFLAKNEJ_00275	CDS	4461	mukB		COG3096	Chromosome partition protein MukB
IFLAKNEJ_00276	CDS	1848	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
IFLAKNEJ_00277	CDS	549				hypothetical protein
IFLAKNEJ_00278	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
IFLAKNEJ_00279	CDS	981				IS110 family transposase IS621
IFLAKNEJ_00280	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
IFLAKNEJ_00281	CDS	1089	ompF		COG3203	Outer membrane porin F
IFLAKNEJ_00282	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
IFLAKNEJ_00283	CDS	1251	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
IFLAKNEJ_00284	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
IFLAKNEJ_00285	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
IFLAKNEJ_00286	CDS	792	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IFLAKNEJ_00287	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
IFLAKNEJ_00288	CDS	960	ssuA			Putative aliphatic sulfonates-binding protein
IFLAKNEJ_00289	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
IFLAKNEJ_00290	CDS	543	elfA			Laminin-binding fimbrial subunit ElfA
IFLAKNEJ_00291	CDS	702	elfD		COG3121	putative fimbrial chaperone protein ElfD
IFLAKNEJ_00292	CDS	2601	elfC_1		COG3188	putative outer membrane usher protein ElfC
IFLAKNEJ_00293	CDS	1071	elfG_1		COG3539	putative fimbrial-like protein ElfG
IFLAKNEJ_00294	CDS	543	ycbU		COG3539	putative fimbrial-like protein YcbU
IFLAKNEJ_00295	CDS	564	ycbV		COG3539	putative fimbrial-like protein YcbV
IFLAKNEJ_00296	CDS	690	ycbF		COG3121	putative fimbrial chaperone YcbF
IFLAKNEJ_00297	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
IFLAKNEJ_00298	CDS	543	zapC			Cell division protein ZapC
IFLAKNEJ_00299	CDS	1110	ycbX		COG0633	putative protein YcbX
IFLAKNEJ_00300	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
IFLAKNEJ_00301	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
IFLAKNEJ_00302	CDS	1254	pqiA		COG2995	Intermembrane transport protein PqiA
IFLAKNEJ_00303	CDS	1641	pqiB		COG3008	Intermembrane transport protein PqiB
IFLAKNEJ_00304	CDS	564	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
IFLAKNEJ_00305	CDS	168	rmf		COG3130	Ribosome modulation factor
IFLAKNEJ_00306	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
IFLAKNEJ_00307	CDS	1761	lon_1	3.4.21.53		Lon protease
IFLAKNEJ_00308	CDS	453	matP		COG3120	Macrodomain Ter protein
IFLAKNEJ_00309	CDS	1041	ompA		COG2885	Outer membrane protein A
IFLAKNEJ_00310	CDS	510	sulA		COG5404	Cell division inhibitor SulA
IFLAKNEJ_00311	CDS	630	sxy		COG3070	Protein Sxy
IFLAKNEJ_00312	CDS	2163	yccS		COG1289	Inner membrane protein YccS
IFLAKNEJ_00313	CDS	447	yccF		COG3304	Inner membrane protein YccF
IFLAKNEJ_00314	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
IFLAKNEJ_00315	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
IFLAKNEJ_00316	CDS	663				hypothetical protein
IFLAKNEJ_00317	CDS	414	yccU		COG1832	putative protein YccU
IFLAKNEJ_00318	CDS	318	hspQ		COG3785	Heat shock protein HspQ
